	total	tag1	tag1/total	tag0	tag0/total	test_total
3340901	10	6.0	0.6	4	0.4	4.0
334010109	692	300.0	0.433526011561	392	0.566473988439	0.0
3340201	14	6.0	0.428571428571	8	0.571428571429	5.0
3340501	31	12.0	0.387096774194	19	0.612903225806	16.0
3340601	3	1.0	0.333333333333	2	0.666666666667	1.0
334104001	6	2.0	0.333333333333	4	0.666666666667	2.0
3340101	36	11.0	0.305555555556	25	0.694444444444	0.0
334103001	7	2.0	0.285714285714	5	0.714285714286	4.0
334094001	8	2.0	0.25	6	0.75	7.0
3340401	4	1.0	0.25	3	0.75	1.0
334105001	4	1.0	0.25	3	0.75	4.0
334010110	17335	4176.0	0.24089991347	13159	0.75910008653	0.0
334010102	20234	4729.0	0.233715528319	15505	0.766284471681	0.0
334010103	9703	2163.0	0.222920746161	7540	0.777079253839	0.0
334010104	34956	7147.0	0.204457031697	27809	0.795542968303	0.0
334010105	14832	3000.0	0.202265372168	11832	0.797734627832	0.0
334101001	5	1.0	0.2	4	0.8	4.0
334010106	18000	3493.0	0.194055555556	14507	0.805944444444	0.0
334010101	19189	3577.0	0.186408880088	15612	0.813591119912	0.0
334067001	4724	776.0	0.164267569856	3948	0.835732430144	2609.0
334050102	14707	2414.0	0.164139525396	12293	0.835860474604	7980.0
334100103	31	5.0	0.161290322581	26	0.838709677419	12.0
334053001	19311	3106.0	0.160840971467	16205	0.839159028533	10787.0
334050101	11136	1717.0	0.154184626437	9419	0.845815373563	6007.0
334050130	1451	221.0	0.152308752584	1230	0.847691247416	766.0
334010108	12000	1811.0	0.150916666667	10189	0.849083333333	0.0
334050103	8539	1265.0	0.148143810751	7274	0.851856189249	4578.0
334066001	8880	1315.0	0.148085585586	7565	0.851914414414	5286.0
334050110	5008	717.0	0.143170926518	4291	0.856829073482	2901.0
334091001	7	1.0	0.142857142857	6	0.857142857143	3.0
334050120	10652	1479.0	0.138847164852	9173	0.861152835148	5693.0
334060101	4214	584.0	0.138585666825	3630	0.861414333175	2337.0
334020106	11580	1600.0	0.13816925734	9980	0.86183074266	6458.0
334055001	9625	1293.0	0.134337662338	8332	0.865662337662	5433.0
334041001	9136	1214.0	0.132880910683	7922	0.867119089317	5005.0
334063001	5196	673.0	0.129522709777	4523	0.870477290223	2872.0
334082001	6038	766.0	0.126863199735	5272	0.873136800265	3437.0
334056001	4895	619.0	0.126455566905	4276	0.873544433095	3040.0
334010107	1507	187.0	0.124087591241	1320	0.875912408759	0.0
334032001	5305	649.0	0.122337417531	4656	0.877662582469	3255.0
334061001	6122	748.0	0.122182293368	5374	0.877817706632	3540.0
334040103	2490	304.0	0.122088353414	2186	0.877911646586	1458.0
334057001	9043	1099.0	0.121530465553	7944	0.878469534447	4980.0
334014001	21607	2610.0	0.120794187069	18997	0.879205812931	0.0
334013001	19044	2276.0	0.119512707414	16768	0.880487292586	0.0
334065001	6935	823.0	0.118673395818	6112	0.881326604182	4264.0
334058001	5119	606.0	0.118382496581	4513	0.881617503419	2904.0
334062001	5087	602.0	0.118340868881	4485	0.881659131119	3015.0
334080101	18233	2156.0	0.118247134317	16077	0.881752865683	9782.0
334030102	7988	944.0	0.118177265899	7044	0.881822734101	4745.0
334054001	11620	1363.0	0.117297762478	10257	0.882702237522	6812.0
334030101	16084	1885.0	0.117197214623	14199	0.882802785377	9493.0
334030103	3167	371.0	0.117145563625	2796	0.882854436375	1874.0
334081001	4245	482.0	0.113545347468	3763	0.886454652532	2524.0
334021001	5347	600.0	0.112212455583	4747	0.887787544417	3028.0
334110101	9	1.0	0.111111111111	8	0.888888888889	4.0
334031001	10882	1202.0	0.110457636464	9680	0.889542363536	6452.0
334069001	2307	254.0	0.110099696576	2053	0.889900303424	1430.0
334022001	7029	773.0	0.109972969128	6256	0.890027030872	4164.0
